Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,HYPEP4,23,93,78,15,83.87
top 100 marker genes,CBGRC,25,99,72,27,72.73
top 100 marker genes,ABC,195,91,49,42,53.85
top 100 marker genes,PSPEP8,75,91,61,30,67.03
top 100 marker genes,ENT7,119,98,66,32,67.35
top 100 marker genes,HBSER4,124,98,48,50,48.98
top 100 marker genes,HBGLU2,248,97,63,34,64.95
top 100 marker genes,VSMCA,111,94,46,48,48.94
top 100 marker genes,SYNOR4,112,86,69,17,80.23
top 100 marker genes,TEINH11,205,95,65,30,68.42
top 100 marker genes,HBINH4,138,94,65,29,69.15
top 100 marker genes,HYPEP6,47,87,77,10,88.51
top 100 marker genes,TEINH1,149,88,69,19,78.41
top 100 marker genes,MEINH7,81,93,72,21,77.42
top 100 marker genes,MFOL1,234,96,52,44,54.17
top 100 marker genes,HYPEN,76,96,68,28,70.83
top 100 marker genes,OBNBL3,204,97,47,50,48.45
top 100 marker genes,ENT6,205,95,38,57,40.0
top 100 marker genes,MOL1,133,99,68,31,68.69
top 100 marker genes,SCGLU4,197,97,53,44,54.64
top 100 marker genes,MBDOP1,124,92,68,24,73.91
top 100 marker genes,SATG2,134,96,20,76,20.83
top 100 marker genes,DGNBL2,295,97,54,43,55.67
top 100 marker genes,EPEN,42,91,74,17,81.32
top 100 marker genes,MGL3,45,90,27,63,30.0
top 100 marker genes,SCINH1,22,95,80,15,84.21
top 100 marker genes,HBCHO4,105,93,60,33,64.52
top 100 marker genes,SCINH9,165,91,52,39,57.14
top 100 marker genes,HYPEP2,49,91,72,19,79.12
top 100 marker genes,DEINH6,19,93,80,13,86.02
top 100 marker genes,OBNBL2,216,91,53,38,58.24
top 100 marker genes,ENT9,115,96,52,44,54.17
top 100 marker genes,OBINH2,282,92,42,50,45.65
top 100 marker genes,MEGLU10,250,90,61,29,67.78
top 100 marker genes,SCINH6,162,94,52,42,55.32
top 100 marker genes,MEINH11,151,97,65,32,67.01
top 100 marker genes,MEGLU8,375,93,43,50,46.24
top 100 marker genes,PER2,152,90,53,37,58.89
top 100 marker genes,PSNP3,26,97,83,14,85.57
top 100 marker genes,DEINH8,196,94,59,35,62.77
