Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,TEINH12,362,97,28,69,28.87
top 100 marker genes,OBNBL4,161,96,57,39,59.38
top 100 marker genes,TEINH10,267,95,51,44,53.68
top 100 marker genes,TEINH21,174,95,47,48,49.47
top 100 marker genes,OEC,98,97,57,40,58.76
top 100 marker genes,ENT5,234,94,48,46,51.06
top 100 marker genes,HYPEP2,229,96,43,53,44.79
top 100 marker genes,MBDOP2,124,95,55,40,57.89
top 100 marker genes,MEGLU1,367,94,42,52,44.68
top 100 marker genes,ACNT1,41,96,63,33,65.62
top 100 marker genes,PSPEP4,231,97,24,73,24.74
top 100 marker genes,SCINH5,169,94,29,65,30.85
top 100 marker genes,HYPEP7,147,98,42,56,42.86
top 100 marker genes,HBSER2,234,92,37,55,40.22
top 100 marker genes,TEINH5,310,94,43,51,45.74
top 100 marker genes,DGNBL1,391,93,38,55,40.86
top 100 marker genes,TEINH15,233,97,64,33,65.98
top 100 marker genes,TEINH17,267,96,53,43,55.21
top 100 marker genes,ENMFB,350,98,30,68,30.61
top 100 marker genes,MEINH12,165,93,46,47,49.46
top 100 marker genes,PSNP4,167,95,45,50,47.37
top 100 marker genes,TEGLU14,84,99,55,44,55.56
top 100 marker genes,SCGLU9,231,94,42,52,44.68
top 100 marker genes,MSN4,38,99,78,21,78.79
top 100 marker genes,DECHO1,162,91,42,49,46.15
top 100 marker genes,PVM1,127,97,41,56,42.27
top 100 marker genes,SCGLU7,70,95,63,32,66.32
top 100 marker genes,SCINH10,211,97,31,66,31.96
top 100 marker genes,ENT9,184,94,50,44,53.19
top 100 marker genes,TEGLU18,291,90,51,39,56.67
top 100 marker genes,ENTG5,209,99,46,53,46.46
top 100 marker genes,MEGLU9,386,99,31,68,31.31
top 100 marker genes,DGGRC2,143,99,72,27,72.73
top 100 marker genes,MEGLU7,319,96,52,44,54.17
top 100 marker genes,MEGLU6,331,98,31,67,31.63
top 100 marker genes,ABC,97,92,53,39,57.61
top 100 marker genes,CHOR,254,92,67,25,72.83
top 100 marker genes,HBGLU8,38,95,75,20,78.95
top 100 marker genes,TEGLU12,344,95,49,46,51.58
top 100 marker genes,PSPEP6,153,94,42,52,44.68
top 100 marker genes,MBDOP1,260,92,35,57,38.04
top 100 marker genes,TEGLU10,241,95,27,68,28.42
top 100 marker genes,HBCHO1,51,98,71,27,72.45
top 100 marker genes,DEINH4,182,92,45,47,48.91
top 100 marker genes,ENTG3,184,95,38,57,40.0
top 100 marker genes,PER2,302,91,44,47,48.35
top 100 marker genes,SCINH3,219,97,35,62,36.08
top 100 marker genes,EPSC,336,97,51,46,52.58
top 100 marker genes,TEINH13,341,98,31,67,31.63
top 100 marker genes,MGL3,39,96,54,42,56.25
top 100 marker genes,SATG1,313,94,26,68,27.66
top 100 marker genes,PER3,409,93,26,67,27.96
top 100 marker genes,TEINH11,194,95,60,35,63.16
top 100 marker genes,VECC,388,93,50,43,53.76
top 100 marker genes,SCGLU8,54,95,61,34,64.21
top 100 marker genes,SYCHO1,112,95,41,54,43.16
top 100 marker genes,TEGLU4,300,92,55,37,59.78
top 100 marker genes,MBCHO1,238,98,31,67,31.63
top 100 marker genes,TEGLU16,169,93,41,52,44.09
top 100 marker genes,MEGLU11,312,95,46,49,48.42
top 100 marker genes,HBGLU4,39,95,68,27,71.58
top 100 marker genes,SYCHO2,28,97,83,14,85.57
top 100 marker genes,CBPC,304,93,30,63,32.26
top 100 marker genes,HBADR,165,94,39,55,41.49
top 100 marker genes,MEINH8,199,93,43,50,46.24
top 100 marker genes,HBCHO3,216,92,52,40,56.52
top 100 marker genes,DGNBL2,523,96,47,49,48.96
top 100 marker genes,PER1,8,95,85,10,89.47
top 100 marker genes,TEINH14,397,98,33,65,33.67
top 100 marker genes,SCINH1,160,98,44,54,44.9
top 100 marker genes,MEINH11,225,98,44,54,44.9
